,Name of pokemon,Pokemon Type,Total,HP,Attack,Sp_Attack,Sp_Defence,Speed
35,Raichu Alolan Raichu,Electric Psychic,485,60,85,95,85,110
36,Sandshrew,Ground ,300,50,75,20,30,40
37,Sandshrew Alolan Sandshrew,Ice Steel,300,50,75,10,35,40
38,Sandslash,Ground ,450,75,100,45,55,65
39,Sandslash Alolan Sandslash,Ice Steel,450,75,100,25,65,65
40,Nidoran♀,Poison ,275,55,47,40,40,41
41,Nidorina,Poison ,365,70,62,55,55,56
42,Nidoqueen,Poison Ground,505,90,92,75,85,76
43,Nidoran♂,Poison ,273,46,57,40,40,50
44,Nidorino,Poison ,365,61,72,55,55,65
45,Nidoking,Poison Ground,505,81,102,85,75,85
46,Clefairy,Fairy ,323,70,45,60,65,35
47,Clefable,Fairy ,483,95,70,95,90,60
48,Vulpix,Fire ,299,38,41,50,65,65
49,Vulpix Alolan Vulpix,Ice ,299,38,41,50,65,65
50,Ninetales,Fire ,505,73,76,81,100,100
51,Ninetales Alolan Ninetales,Ice Fairy,505,73,67,81,100,109
52,Jigglypuff,Normal Fairy,270,115,45,45,25,20
53,Wigglytuff,Normal Fairy,435,140,70,85,50,45
54,Zubat,Poison Flying,245,40,45,30,40,55
55,Golbat,Poison Flying,455,75,80,65,75,90
56,Oddish,Grass Poison,320,45,50,75,65,30
57,Gloom,Grass Poison,395,60,65,85,75,40
58,Vileplume,Grass Poison,490,75,80,110,90,50
59,Paras,Bug Grass,285,35,70,45,55,25
60,Parasect,Bug Grass,405,60,95,60,80,30
61,Venonat,Bug Poison,305,60,55,40,55,45
62,Venomoth,Bug Poison,450,70,65,90,75,90
63,Diglett,Ground ,265,10,55,35,45,95
64,Diglett Alolan Diglett,Ground Steel,265,10,55,35,45,90
65,Dugtrio,Ground ,425,35,100,50,70,120
66,Dugtrio Alolan Dugtrio,Ground Steel,425,35,100,50,70,110
67,Meowth,Normal ,290,40,45,40,40,90
68,Meowth Alolan Meowth,Dark ,290,40,35,50,40,90
69,Meowth Galarian Meowth,Steel ,290,50,65,40,40,40
70,Persian,Normal ,440,65,70,65,65,115
71,Persian Alolan Persian,Dark ,440,65,60,75,65,115
72,Psyduck,Water ,320,50,52,65,50,55
73,Golduck,Water ,500,80,82,95,80,85
74,Mankey,Fighting ,305,40,80,35,45,70
75,Primeape,Fighting ,455,65,105,60,70,95
76,Growlithe,Fire ,350,55,70,70,50,60
77,Growlithe Hisuian Growlithe,Fire Rock,350,60,75,65,50,55
78,Arcanine,Fire ,555,90,110,100,80,95
79,Arcanine Hisuian Arcanine,Fire Rock,555,95,115,95,80,90
80,Poliwag,Water ,300,40,50,40,40,90
81,Poliwhirl,Water ,385,65,65,50,50,90
82,Poliwrath,Water Fighting,510,90,95,70,90,70
83,Abra,Psychic ,310,25,20,105,55,90
84,Kadabra,Psychic ,400,40,35,120,70,105
85,Alakazam,Psychic ,500,55,50,135,95,120
86,Alakazam Mega Alakazam,Psychic ,600,55,50,175,105,150
87,Machop,Fighting ,305,70,80,35,35,35
88,Machoke,Fighting ,405,80,100,50,60,45
89,Machamp,Fighting ,505,90,130,65,85,55
90,Bellsprout,Grass Poison,300,50,75,70,30,40
91,Weepinbell,Grass Poison,390,65,90,85,45,55
92,Victreebel,Grass Poison,490,80,105,100,70,70
93,Tentacool,Water Poison,335,40,40,50,100,70
94,Tentacruel,Water Poison,515,80,70,80,120,100
95,Geodude,Rock Ground,300,40,80,30,30,20
96,Geodude Alolan Geodude,Rock Electric,300,40,80,30,30,20
97,Graveler,Rock Ground,390,55,95,45,45,35
98,Graveler Alolan Graveler,Rock Electric,390,55,95,45,45,35
99,Golem,Rock Ground,495,80,120,55,65,45
100,Golem Alolan Golem,Rock Electric,495,80,120,55,65,45
101,Ponyta,Fire ,410,50,85,65,65,90
102,Ponyta Galarian Ponyta,Psychic ,410,50,85,65,65,90
103,Rapidash,Fire ,500,65,100,80,80,105
104,Rapidash Galarian Rapidash,Psychic Fairy,500,65,100,80,80,105
105,Slowpoke,Water Psychic,315,90,65,40,40,15
106,Slowpoke Galarian Slowpoke,Psychic ,315,90,65,40,40,15
107,Slowbro,Water Psychic,490,95,75,100,80,30
108,Slowbro Mega Slowbro,Water Psychic,590,95,75,130,80,30
109,Slowbro Galarian Slowbro,Poison Psychic,490,95,100,100,70,30
110,Magnemite,Electric Steel,325,25,35,95,55,45
111,Magneton,Electric Steel,465,50,60,120,70,70
112,Farfetch'd,Normal Flying,377,52,90,58,62,60
113,Farfetch'd Galarian Farfetch'd,Fighting ,377,52,95,58,62,55
114,Doduo,Normal Flying,310,35,85,35,35,75
115,Dodrio,Normal Flying,470,60,110,60,60,110
116,Seel,Water ,325,65,45,45,70,45
117,Dewgong,Water Ice,475,90,70,70,95,70
118,Grimer,Poison ,325,80,80,40,50,25
119,Grimer Alolan Grimer,Poison Dark,325,80,80,40,50,25
120,Muk,Poison ,500,105,105,65,100,50
121,Muk Alolan Muk,Poison Dark,500,105,105,65,100,50
122,Shellder,Water ,305,30,65,45,25,40
123,Cloyster,Water Ice,525,50,95,85,45,70
124,Gastly,Ghost Poison,310,30,35,100,35,80
125,Haunter,Ghost Poison,405,45,50,115,55,95
126,Gengar,Ghost Poison,500,60,65,130,75,110
127,Gengar Mega Gengar,Ghost Poison,600,60,65,170,95,130
128,Onix,Rock Ground,385,35,45,30,45,70
129,Drowzee,Psychic ,328,60,48,43,90,42
130,Hypno,Psychic ,483,85,73,73,115,67
131,Krabby,Water ,325,30,105,25,25,50
132,Kingler,Water ,475,55,130,50,50,75
133,Voltorb,Electric ,330,40,30,55,55,100
134,Voltorb Hisuian Voltorb,Electric Grass,330,40,30,55,55,100
135,Electrode,Electric ,490,60,50,80,80,150
136,Electrode Hisuian Electrode,Electric Grass,490,60,50,80,80,150
137,Exeggcute,Grass Psychic,325,60,40,60,45,40
138,Exeggutor,Grass Psychic,530,95,95,125,75,55
139,Exeggutor Alolan Exeggutor,Grass Dragon,530,95,105,125,75,45
140,Cubone,Ground ,320,50,50,40,50,35
141,Marowak,Ground ,425,60,80,50,80,45
142,Marowak Alolan Marowak,Fire Ghost,425,60,80,50,80,45
143,Hitmonlee,Fighting ,455,50,120,35,110,87
144,Hitmonchan,Fighting ,455,50,105,35,110,76
145,Lickitung,Normal ,385,90,55,60,75,30
146,Koffing,Poison ,340,40,65,60,45,35
147,Weezing,Poison ,490,65,90,85,70,60
148,Weezing Galarian Weezing,Poison Fairy,490,65,90,85,70,60
149,Rhyhorn,Ground Rock,345,80,85,30,30,25
150,Rhydon,Ground Rock,485,105,130,45,45,40
151,Chansey,Normal ,450,250,5,35,105,50
152,Tangela,Grass ,435,65,55,100,40,60
153,Kangaskhan,Normal ,490,105,95,40,80,90
154,Kangaskhan Mega Kangaskhan,Normal ,590,105,125,60,100,100
155,Horsea,Water ,295,30,40,70,25,60
156,Seadra,Water ,440,55,65,95,45,85
157,Goldeen,Water ,320,45,67,35,50,63
158,Seaking,Water ,450,80,92,65,80,68
159,Staryu,Water ,340,30,45,70,55,85
160,Starmie,Water Psychic,520,60,75,100,85,115
161,Mr. Mime,Psychic Fairy,460,40,45,100,120,90
162,Mr. Mime Galarian Mr. Mime,Ice Psychic,460,50,65,90,90,100
163,Scyther,Bug Flying,500,70,110,55,80,105
164,Jynx,Ice Psychic,455,65,50,115,95,95
165,Electabuzz,Electric ,490,65,83,95,85,105
166,Magmar,Fire ,495,65,95,100,85,93
167,Pinsir,Bug ,500,65,125,55,70,85
168,Pinsir Mega Pinsir,Bug Flying,600,65,155,65,90,105
169,Tauros,Normal ,490,75,100,40,70,110
170,Tauros Combat Breed,Fighting ,490,75,110,30,70,100
171,Tauros Blaze Breed,Fighting Fire,490,75,110,30,70,100
172,Tauros Aqua Breed,Fighting Water,490,75,110,30,70,100
173,Magikarp,Water ,200,20,10,15,20,80
174,Gyarados,Water Flying,540,95,125,60,100,81
175,Gyarados Mega Gyarados,Water Dark,640,95,155,70,130,81
176,Lapras,Water Ice,535,130,85,85,95,60
177,Ditto,Normal ,288,48,48,48,48,48
178,Eevee,Normal ,325,55,55,45,65,55
179,Eevee Partner Eevee,Normal ,435,65,75,65,85,75
180,Vaporeon,Water ,525,130,65,110,95,65
181,Jolteon,Electric ,525,65,65,110,95,130
182,Flareon,Fire ,525,65,130,95,110,65
183,Porygon,Normal ,395,65,60,85,75,40
184,Omanyte,Rock Water,355,35,40,90,55,35
185,Omastar,Rock Water,495,70,60,115,70,55
186,Kabuto,Rock Water,355,30,80,55,45,55
187,Kabutops,Rock Water,495,60,115,65,70,80
188,Aerodactyl,Rock Flying,515,80,105,60,75,130
189,Aerodactyl Mega Aerodactyl,Rock Flying,615,80,135,70,95,150
190,Snorlax,Normal ,540,160,110,65,110,30
191,Articuno,Ice Flying,580,90,85,95,125,85
192,Articuno Galarian Articuno,Psychic Flying,580,90,85,125,100,95
193,Zapdos,Electric Flying,580,90,90,125,90,100
194,Zapdos Galarian Zapdos,Fighting Flying,580,90,125,85,90,100
195,Moltres,Fire Flying,580,90,100,125,85,90
196,Moltres Galarian Moltres,Dark Flying,580,90,85,100,125,90
197,Dratini,Dragon ,300,41,64,50,50,50
198,Dragonair,Dragon ,420,61,84,70,70,70
199,Dragonite,Dragon Flying,600,91,134,100,100,80
200,Mewtwo,Psychic ,680,106,110,154,90,130
201,Mewtwo Mega Mewtwo X,Psychic Fighting,780,106,190,154,100,130
202,Mewtwo Mega Mewtwo Y,Psychic ,780,106,150,194,120,140
203,Mew,Psychic ,600,100,100,100,100,100
204,Chikorita,Grass ,318,45,49,49,65,45
205,Bayleef,Grass ,405,60,62,63,80,60
206,Meganium,Grass ,525,80,82,83,100,80
207,Cyndaquil,Fire ,309,39,52,60,50,65
208,Quilava,Fire ,405,58,64,80,65,80
209,Typhlosion,Fire ,534,78,84,109,85,100
210,Typhlosion Hisuian Typhlosion,Fire Ghost,534,73,84,119,85,95
211,Totodile,Water ,314,50,65,44,48,43
212,Croconaw,Water ,405,65,80,59,63,58
213,Feraligatr,Water ,530,85,105,79,83,78
214,Sentret,Normal ,215,35,46,35,45,20
215,Furret,Normal ,415,85,76,45,55,90
216,Hoothoot,Normal Flying,262,60,30,36,56,50
217,Noctowl,Normal Flying,452,100,50,86,96,70
218,Ledyba,Bug Flying,265,40,20,40,80,55
219,Ledian,Bug Flying,390,55,35,55,110,85
220,Spinarak,Bug Poison,250,40,60,40,40,30
221,Ariados,Bug Poison,400,70,90,60,70,40
222,Crobat,Poison Flying,535,85,90,70,80,130
223,Chinchou,Water Electric,330,75,38,56,56,67
224,Lanturn,Water Electric,460,125,58,76,76,67
225,Pichu,Electric ,205,20,40,35,35,60
226,Cleffa,Fairy ,218,50,25,45,55,15
227,Igglybuff,Normal Fairy,210,90,30,40,20,15
228,Togepi,Fairy ,245,35,20,40,65,20
229,Togetic,Fairy Flying,405,55,40,80,105,40
230,Natu,Psychic Flying,320,40,50,70,45,70
231,Xatu,Psychic Flying,470,65,75,95,70,95
232,Mareep,Electric ,280,55,40,65,45,35
233,Flaaffy,Electric ,365,70,55,80,60,45
234,Ampharos,Electric ,510,90,75,115,90,55
235,Ampharos Mega Ampharos,Electric Dragon,610,90,95,165,110,45
236,Bellossom,Grass ,490,75,80,90,100,50
237,Marill,Water Fairy,250,70,20,20,50,40
238,Azumarill,Water Fairy,420,100,50,60,80,50
239,Sudowoodo,Rock ,410,70,100,30,65,30
240,Politoed,Water ,500,90,75,90,100,70
241,Hoppip,Grass Flying,250,35,35,35,55,50
242,Skiploom,Grass Flying,340,55,45,45,65,80
243,Jumpluff,Grass Flying,460,75,55,55,95,110
244,Aipom,Normal ,360,55,70,40,55,85
245,Sunkern,Grass ,180,30,30,30,30,30
246,Sunflora,Grass ,425,75,75,105,85,30
247,Yanma,Bug Flying,390,65,65,75,45,95
248,Wooper,Water Ground,210,55,45,25,25,15
249,Wooper Paldean Wooper,Poison Ground,210,55,45,25,25,15
250,Quagsire,Water Ground,430,95,85,65,65,35
251,Espeon,Psychic ,525,65,65,130,95,110
252,Umbreon,Dark ,525,95,65,60,130,65
253,Murkrow,Dark Flying,405,60,85,85,42,91
254,Slowking,Water Psychic,490,95,75,100,110,30
255,Slowking Galarian Slowking,Poison Psychic,490,95,65,110,110,30
256,Misdreavus,Ghost ,435,60,60,85,85,85
257,Unown,Psychic ,336,48,72,72,48,48
258,Wobbuffet,Psychic ,405,190,33,33,58,33
259,Girafarig,Normal Psychic,455,70,80,90,65,85
260,Pineco,Bug ,290,50,65,35,35,15
261,Forretress,Bug Steel,465,75,90,60,60,40
262,Dunsparce,Normal ,415,100,70,65,65,45
263,Gligar,Ground Flying,430,65,75,35,65,85
264,Steelix,Steel Ground,510,75,85,55,65,30
265,Steelix Mega Steelix,Steel Ground,610,75,125,55,95,30
266,Snubbull,Fairy ,300,60,80,40,40,30
267,Granbull,Fairy ,450,90,120,60,60,45
268,Qwilfish,Water Poison,440,65,95,55,55,85
269,Qwilfish Hisuian Qwilfish,Dark Poison,440,65,95,55,55,85
270,Scizor,Bug Steel,500,70,130,55,80,65
271,Scizor Mega Scizor,Bug Steel,600,70,150,65,100,75
272,Shuckle,Bug Rock,505,20,10,10,230,5
273,Heracross,Bug Fighting,500,80,125,40,95,85
274,Heracross Mega Heracross,Bug Fighting,600,80,185,40,105,75
275,Sneasel,Dark Ice,430,55,95,35,75,115
276,Sneasel Hisuian Sneasel,Fighting Poison,430,55,95,35,75,115
277,Teddiursa,Normal ,330,60,80,50,50,40
278,Ursaring,Normal ,500,90,130,75,75,55
279,Slugma,Fire ,250,40,40,70,40,20
280,Magcargo,Fire Rock,430,60,50,90,80,30
281,Swinub,Ice Ground,250,50,50,30,30,50
282,Piloswine,Ice Ground,450,100,100,60,60,50
283,Corsola,Water Rock,410,65,55,65,95,35
284,Corsola Galarian Corsola,Ghost ,410,60,55,65,100,30
285,Remoraid,Water ,300,35,65,65,35,65
286,Octillery,Water ,480,75,105,105,75,45
287,Delibird,Ice Flying,330,45,55,65,45,75
288,Mantine,Water Flying,485,85,40,80,140,70
289,Skarmory,Steel Flying,465,65,80,40,70,70
290,Houndour,Dark Fire,330,45,60,80,50,65
291,Houndoom,Dark Fire,500,75,90,110,80,95
292,Houndoom Mega Houndoom,Dark Fire,600,75,90,140,90,115
293,Kingdra,Water Dragon,540,75,95,95,95,85
294,Phanpy,Ground ,330,90,60,40,40,40
295,Donphan,Ground ,500,90,120,60,60,50
296,Porygon2,Normal ,515,85,80,105,95,60
297,Stantler,Normal ,465,73,95,85,65,85
298,Smeargle,Normal ,250,55,20,20,45,75
299,Tyrogue,Fighting ,210,35,35,35,35,35
300,Hitmontop,Fighting ,455,50,95,35,110,70
301,Smoochum,Ice Psychic,305,45,30,85,65,65
302,Elekid,Electric ,360,45,63,65,55,95
303,Magby,Fire ,365,45,75,70,55,83
304,Miltank,Normal ,490,95,80,40,70,100
305,Blissey,Normal ,540,255,10,75,135,55
306,Raikou,Electric ,580,90,85,115,100,115
307,Entei,Fire ,580,115,115,90,75,100
308,Suicune,Water ,580,100,75,90,115,85
309,Larvitar,Rock Ground,300,50,64,45,50,41
310,Pupitar,Rock Ground,410,70,84,65,70,51
311,Tyranitar,Rock Dark,600,100,134,95,100,61
312,Tyranitar Mega Tyranitar,Rock Dark,700,100,164,95,120,71
313,Lugia,Psychic Flying,680,106,90,90,154,110
314,Ho-oh,Fire Flying,680,106,130,110,154,90
315,Celebi,Psychic Grass,600,100,100,100,100,100
316,Treecko,Grass ,310,40,45,65,55,70
317,Grovyle,Grass ,405,50,65,85,65,95
318,Sceptile,Grass ,530,70,85,105,85,120
319,Sceptile Mega Sceptile,Grass Dragon,630,70,110,145,85,145
320,Torchic,Fire ,310,45,60,70,50,45
321,Combusken,Fire Fighting,405,60,85,85,60,55
322,Blaziken,Fire Fighting,530,80,120,110,70,80
323,Blaziken Mega Blaziken,Fire Fighting,630,80,160,130,80,100
324,Mudkip,Water ,310,50,70,50,50,40
325,Marshtomp,Water Ground,405,70,85,60,70,50
326,Swampert,Water Ground,535,100,110,85,90,60
327,Swampert Mega Swampert,Water Ground,635,100,150,95,110,70
328,Poochyena,Dark ,220,35,55,30,30,35
329,Mightyena,Dark ,420,70,90,60,60,70
330,Zigzagoon,Normal ,240,38,30,30,41,60
331,Zigzagoon Galarian Zigzagoon,Dark Normal,240,38,30,30,41,60
332,Linoone,Normal ,420,78,70,50,61,100
333,Linoone Galarian Linoone,Dark Normal,420,78,70,50,61,100
334,Wurmple,Bug ,195,45,45,20,30,20
335,Silcoon,Bug ,205,50,35,25,25,15
336,Beautifly,Bug Flying,395,60,70,100,50,65
337,Cascoon,Bug ,205,50,35,25,25,15
338,Dustox,Bug Poison,385,60,50,50,90,65
339,Lotad,Water Grass,220,40,30,40,50,30
340,Lombre,Water Grass,340,60,50,60,70,50
341,Ludicolo,Water Grass,480,80,70,90,100,70
342,Seedot,Grass ,220,40,40,30,30,30
343,Nuzleaf,Grass Dark,340,70,70,60,40,60
344,Shiftry,Grass Dark,480,90,100,90,60,80
345,Taillow,Normal Flying,270,40,55,30,30,85
346,Swellow,Normal Flying,455,60,85,75,50,125
347,Wingull,Water Flying,270,40,30,55,30,85
348,Pelipper,Water Flying,440,60,50,95,70,65
349,Ralts,Psychic Fairy,198,28,25,45,35,40
350,Kirlia,Psychic Fairy,278,38,35,65,55,50
351,Gardevoir,Psychic Fairy,518,68,65,125,115,80
352,Gardevoir Mega Gardevoir,Psychic Fairy,618,68,85,165,135,100
353,Surskit,Bug Water,269,40,30,50,52,65
354,Masquerain,Bug Flying,454,70,60,100,82,80
355,Shroomish,Grass ,295,60,40,40,60,35
356,Breloom,Grass Fighting,460,60,130,60,60,70
357,Slakoth,Normal ,280,60,60,35,35,30
358,Vigoroth,Normal ,440,80,80,55,55,90
359,Slaking,Normal ,670,150,160,95,65,100
360,Nincada,Bug Ground,266,31,45,30,30,40
361,Ninjask,Bug Flying,456,61,90,50,50,160
362,Shedinja,Bug Ghost,236,1,90,30,30,40
363,Whismur,Normal ,240,64,51,51,23,28
364,Loudred,Normal ,360,84,71,71,43,48
365,Exploud,Normal ,490,104,91,91,73,68
366,Makuhita,Fighting ,237,72,60,20,30,25
367,Hariyama,Fighting ,474,144,120,40,60,50
368,Azurill,Normal Fairy,190,50,20,20,40,20
369,Nosepass,Rock ,375,30,45,45,90,30
370,Skitty,Normal ,260,50,45,35,35,50
371,Delcatty,Normal ,400,70,65,55,55,90
372,Sableye,Dark Ghost,380,50,75,65,65,50
373,Sableye Mega Sableye,Dark Ghost,480,50,85,85,115,20
374,Mawile,Steel Fairy,380,50,85,55,55,50
375,Mawile Mega Mawile,Steel Fairy,480,50,105,55,95,50
376,Aron,Steel Rock,330,50,70,40,40,30
377,Lairon,Steel Rock,430,60,90,50,50,40
378,Aggron,Steel Rock,530,70,110,60,60,50
379,Aggron Mega Aggron,Steel ,630,70,140,60,80,50
380,Meditite,Fighting Psychic,280,30,40,40,55,60
381,Medicham,Fighting Psychic,410,60,60,60,75,80
382,Medicham Mega Medicham,Fighting Psychic,510,60,100,80,85,100
383,Electrike,Electric ,295,40,45,65,40,65
384,Manectric,Electric ,475,70,75,105,60,105
385,Manectric Mega Manectric,Electric ,575,70,75,135,80,135
386,Plusle,Electric ,405,60,50,85,75,95
387,Minun,Electric ,405,60,40,75,85,95
388,Volbeat,Bug ,430,65,73,47,85,85
389,Illumise,Bug ,430,65,47,73,85,85
390,Roselia,Grass Poison,400,50,60,100,80,65
391,Gulpin,Poison ,302,70,43,43,53,40
392,Swalot,Poison ,467,100,73,73,83,55
393,Carvanha,Water Dark,305,45,90,65,20,65
394,Sharpedo,Water Dark,460,70,120,95,40,95
395,Sharpedo Mega Sharpedo,Water Dark,560,70,140,110,65,105
396,Wailmer,Water ,400,130,70,70,35,60
397,Wailord,Water ,500,170,90,90,45,60
398,Numel,Fire Ground,305,60,60,65,45,35
399,Camerupt,Fire Ground,460,70,100,105,75,40
400,Camerupt Mega Camerupt,Fire Ground,560,70,120,145,105,20
401,Torkoal,Fire ,470,70,85,85,70,20
402,Spoink,Psychic ,330,60,25,70,80,60
403,Grumpig,Psychic ,470,80,45,90,110,80
404,Spinda,Normal ,360,60,60,60,60,60
405,Trapinch,Ground ,290,45,100,45,45,10
406,Vibrava,Ground Dragon,340,50,70,50,50,70
407,Flygon,Ground Dragon,520,80,100,80,80,100
408,Cacnea,Grass ,335,50,85,85,40,35
409,Cacturne,Grass Dark,475,70,115,115,60,55
410,Swablu,Normal Flying,310,45,40,40,75,50
411,Altaria,Dragon Flying,490,75,70,70,105,80
412,Altaria Mega Altaria,Dragon Fairy,590,75,110,110,105,80
413,Zangoose,Normal ,458,73,115,60,60,90
414,Seviper,Poison ,458,73,100,100,60,65
415,Lunatone,Rock Psychic,460,90,55,95,85,70
416,Solrock,Rock Psychic,460,90,95,55,65,70
417,Barboach,Water Ground,288,50,48,46,41,60
418,Whiscash,Water Ground,468,110,78,76,71,60
419,Corphish,Water ,308,43,80,50,35,35
420,Crawdaunt,Water Dark,468,63,120,90,55,55
421,Baltoy,Ground Psychic,300,40,40,40,70,55
422,Claydol,Ground Psychic,500,60,70,70,120,75
423,Lileep,Rock Grass,355,66,41,61,87,23
424,Cradily,Rock Grass,495,86,81,81,107,43
425,Anorith,Rock Bug,355,45,95,40,50,75
426,Armaldo,Rock Bug,495,75,125,70,80,45
427,Feebas,Water ,200,20,15,10,55,80
428,Milotic,Water ,540,95,60,100,125,81
429,Castform,Normal ,420,70,70,70,70,70
430,Castform Sunny Form,Fire ,420,70,70,70,70,70
431,Castform Rainy Form,Water ,420,70,70,70,70,70
432,Castform Snowy Form,Ice ,420,70,70,70,70,70
433,Kecleon,Normal ,440,60,90,60,120,40
434,Shuppet,Ghost ,295,44,75,63,33,45
435,Banette,Ghost ,455,64,115,83,63,65
436,Banette Mega Banette,Ghost ,555,64,165,93,83,75
437,Duskull,Ghost ,295,20,40,30,90,25
438,Dusclops,Ghost ,455,40,70,60,130,25
439,Tropius,Grass Flying,460,99,68,72,87,51
440,Chimecho,Psychic ,455,75,50,95,90,65
441,Absol,Dark ,465,65,130,75,60,75
442,Absol Mega Absol,Dark ,565,65,150,115,60,115
443,Wynaut,Psychic ,260,95,23,23,48,23
444,Snorunt,Ice ,300,50,50,50,50,50
445,Glalie,Ice ,480,80,80,80,80,80
446,Glalie Mega Glalie,Ice ,580,80,120,120,80,100
447,Spheal,Ice Water,290,70,40,55,50,25
448,Sealeo,Ice Water,410,90,60,75,70,45
449,Walrein,Ice Water,530,110,80,95,90,65
450,Clamperl,Water ,345,35,64,74,55,32
451,Huntail,Water ,485,55,104,94,75,52
452,Gorebyss,Water ,485,55,84,114,75,52
453,Relicanth,Water Rock,485,100,90,45,65,55
454,Luvdisc,Water ,330,43,30,40,65,97
455,Bagon,Dragon ,300,45,75,40,30,50
456,Shelgon,Dragon ,420,65,95,60,50,50
457,Salamence,Dragon Flying,600,95,135,110,80,100
458,Salamence Mega Salamence,Dragon Flying,700,95,145,120,90,120
459,Beldum,Steel Psychic,300,40,55,35,60,30
460,Metang,Steel Psychic,420,60,75,55,80,50
461,Metagross,Steel Psychic,600,80,135,95,90,70
462,Metagross Mega Metagross,Steel Psychic,700,80,145,105,110,110
463,Regirock,Rock ,580,80,100,50,100,50
464,Regice,Ice ,580,80,50,100,200,50
465,Registeel,Steel ,580,80,75,75,150,50
466,Latias,Dragon Psychic,600,80,80,110,130,110
467,Latias Mega Latias,Dragon Psychic,700,80,100,140,150,110
468,Latios,Dragon Psychic,600,80,90,130,110,110
469,Latios Mega Latios,Dragon Psychic,700,80,130,160,120,110
470,Kyogre,Water ,670,100,100,150,140,90
471,Kyogre Primal Kyogre,Water ,770,100,150,180,160,90
472,Groudon,Ground ,670,100,150,100,90,90
473,Groudon Primal Groudon,Ground Fire,770,100,180,150,90,90
474,Rayquaza,Dragon Flying,680,105,150,150,90,95
475,Rayquaza Mega Rayquaza,Dragon Flying,780,105,180,180,100,115
476,Jirachi,Steel Psychic,600,100,100,100,100,100
477,Deoxys Normal Forme,Psychic ,600,50,150,150,50,150
478,Deoxys Attack Forme,Psychic ,600,50,180,180,20,150
479,Deoxys Defense Forme,Psychic ,600,50,70,70,160,90
480,Deoxys Speed Forme,Psychic ,600,50,95,95,90,180
481,Turtwig,Grass ,318,55,68,45,55,31
482,Grotle,Grass ,405,75,89,55,65,36
483,Torterra,Grass Ground,525,95,109,75,85,56
484,Chimchar,Fire ,309,44,58,58,44,61
485,Monferno,Fire Fighting,405,64,78,78,52,81
486,Infernape,Fire Fighting,534,76,104,104,71,108
487,Piplup,Water ,314,53,51,61,56,40
488,Prinplup,Water ,405,64,66,81,76,50
489,Empoleon,Water Steel,530,84,86,111,101,60
490,Starly,Normal Flying,245,40,55,30,30,60
491,Staravia,Normal Flying,340,55,75,40,40,80
492,Staraptor,Normal Flying,485,85,120,50,60,100
493,Bidoof,Normal ,250,59,45,35,40,31
494,Bibarel,Normal Water,410,79,85,55,60,71
495,Kricketot,Bug ,194,37,25,25,41,25
496,Kricketune,Bug ,384,77,85,55,51,65
497,Shinx,Electric ,263,45,65,40,34,45
498,Luxio,Electric ,363,60,85,60,49,60
499,Luxray,Electric ,523,80,120,95,79,70
500,Budew,Grass Poison,280,40,30,50,70,55
501,Roserade,Grass Poison,515,60,70,125,105,90
502,Cranidos,Rock ,350,67,125,30,30,58
503,Rampardos,Rock ,495,97,165,65,50,58
504,Shieldon,Rock Steel,350,30,42,42,88,30
505,Bastiodon,Rock Steel,495,60,52,47,138,30
506,Burmy Plant Cloak,Bug ,224,40,29,29,45,36
507,Burmy Sandy Cloak,Bug ,224,40,29,29,45,36
